Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,West Asian,Females,3.308,2.974,3.643,,2100,,21715,9.7,8.8,10.6,,9.7,8.8,10.6,,6.749,5.843,7.655,,69.774,66.712,72.837,,2.358,2.025,2.692,,0.111,0.095,0.126,,1467,1259,1675,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Latin American ,Females,3.367,3.049,3.686,,2025,,20600,9.8,8.9,10.7,,9.8,9,10.7,,6.921,6.035,7.807,,70.302,67.498,73.106,,2.287,1.987,2.587,,0.107,0.093,0.122,,1423,1234,1612,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Multiple origins,Females,1.673,1.472,1.875,,1630,,33785,4.8,4.3,5.4,,4.9,4.3,5.5,,1.969,1.39,2.548,,40.244,33.092,47.396,,1.057,0.749,1.365,,0.05,0.035,0.064,,658,464,851,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Origins responses not included elsewhere,Females,2.12,1.796,2.445,,775,,12480,6.2,5.2,7.1,,6.2,5.3,7.1,,3.276,2.339,4.212,,52.838,45.611,60.066,,0.655,0.468,0.843,,0.031,0.022,0.04,,408,291,524,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,Total - Not white,Females,2.357,2.275,2.438,,40720,,590675,6.9,6.8,7,,6.9,6.8,7,,3.966,3.808,4.124,,57.566,56.095,59.037,,37.681,36.261,39.101,,1.768,1.697,1.839,,23443,22497,24389,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Cultural/racial background,White [reference],Females,1,,,,21495,,735220,2.9,2.8,3,,2.9,2.8,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Recent immigrant (?10 years) ,Both sexes,3.277,3.155,3.399,,18940,,183140,10.3,10,10.7,,12,11.6,12.5,,8.372,7.944,8.801,,69.485,68.355,70.615,,10.302,9.831,10.773,,0.483,0.459,0.506,,13163,12515,13810,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Long-term immigrant (>10 years),Both sexes,0.689,0.611,0.767,,2145,,37765,5.7,5.1,6.2,,2.5,2.2,2.8,,-1.144,-1.43,-0.858,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-permanent resident,Both sexes,9.363,9.048,9.678,,15935,,46080,34.6,33.5,35.7,,34.4,33.4,35.5,,30.749,29.711,31.787,,89.32,88.961,89.678,,11.141,10.73,11.553,,0.522,0.502,0.542,,14235,13686,14785,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-immigrant [reference],Both sexes,1,,,,90750,,2.4605e+006,3.7,3.6,3.7,,3.7,3.6,3.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Recent immigrant (?10 years) ,Males,3.207,3.03,3.384,,9685,,93925,10.3,9.9,10.7,,11.7,11.1,12.3,,8.069,7.472,8.666,,68.819,67.099,70.539,,10.165,9.498,10.831,,0.475,0.443,0.508,,6663,6211,7116,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Long-term immigrant (>10 years),Males,0.681,0.584,0.777,,1100,,19825,5.5,4.9,6.2,,2.5,2.1,2.8,,-1.167,-1.523,-0.812,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-permanent resident,Males,9.56,9.139,9.981,,8445,,23960,35.3,33.9,36.6,,35,33.6,36.3,,31.294,29.948,32.641,,89.54,89.08,89.999,,11.537,10.967,12.108,,0.54,0.512,0.567,,7563,7178,7949,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-immigrant [reference],Males,1,,,,46325,,1.26388e+006,3.7,3.6,3.7,,3.7,3.6,3.7,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Recent immigrant (?10 years) ,Females,3.347,3.201,3.494,,9260,,89210,10.4,10,10.8,,12.4,11.9,12.9,,8.683,8.17,9.195,,70.127,68.817,71.436,,10.438,9.882,10.995,,0.49,0.462,0.518,,6494,6127,6862,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Long-term immigrant (>10 years),Females,0.698,0.59,0.806,,1040,,17945,5.8,5.1,6.6,,2.6,2.2,3,,-1.116,-1.518,-0.714,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-permanent resident,Females,9.149,8.79,9.508,,7490,,22115,33.9,32.6,35.1,,33.8,32.6,35.1,,30.141,28.893,31.388,,89.07,88.64,89.499,,10.724,10.256,11.193,,0.503,0.479,0.527,,6672,6358,6986,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status,Non-immigrant [reference],Females,1,,,,44415,,1.19662e+006,3.7,3.6,3.8,,3.7,3.6,3.8,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Black",Both sexes,4.747,4.306,5.188,,3140,,27595,11.4,10.5,12.3,,12.9,11.8,14.1,,10.204,9.053,11.354,,78.934,76.98,80.888,,1.94,1.741,2.14,,0.091,0.081,0.1,,2479,2223,2736,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Both sexes,5.114,4.623,5.606,,3580,,29370,12.2,11.4,13,,13.9,12.7,15.2,,11.204,9.947,12.462,,80.447,78.541,82.354,,2.256,2.061,2.451,,0.106,0.096,0.115,,2882,2631,3134,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Both sexes,4.268,4.023,4.514,,9095,,90765,10,9.5,10.5,,11.6,11,12.2,,8.9,8.28,9.52,,76.571,75.237,77.906,,5.449,5.095,5.802,,0.255,0.238,0.272,,6962,6492,7431,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Both sexes,4.414,3.657,5.171,,1185,,11020,10.8,9.3,12.2,,12,9.9,14.1,,9.297,7.231,11.362,,77.344,73.38,81.308,,0.718,0.584,0.853,,0.034,0.027,0.04,,917,745,1090,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, White",Both sexes,3.791,3.269,4.314,,1940,,24330,8,7,8.9,,10.3,8.9,11.8,,7.602,6.182,9.022,,73.625,70.005,77.245,,1.115,0.933,1.298,,0.052,0.044,0.061,,1425,1189,1661,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Both sexes,0.934,0.642,1.226,,250,,4005,6.1,4.4,7.9,,2.5,1.7,3.3,,-0.18,-0.974,0.615,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Both sexes,1.448,1.172,1.724,,655,,7390,8.9,7.6,10.2,,3.9,3.2,4.7,,1.22,0.474,1.966,,30.939,17.781,44.096,,0.159,0.069,0.25,,0.007,0.003,0.012,,204,88,319,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Both sexes,0.841,0.715,0.968,,940,,18060,5.2,4.5,5.9,,2.3,1.9,2.6,,-0.432,-0.776,-0.088,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Latin American/Other/Multiple origins",Both sexes,0.907,0.385,1.429,,125,E,2715,4.8,2.9,6.6,,2.5,1.1,3.9,,-0.252,-1.671,1.167,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, White",Both sexes,0.567,0.352,0.782,E,175,,5595,3.1,2.1,4,,1.5,1,2.1,E,-1.179,-1.765,-0.594,E,,,,E,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Both sexes,12.216,11.229,13.203,,3210,,9865,32.5,29.9,35.1,,33.3,30.7,35.8,,30.544,27.984,33.104,,91.814,91.16,92.469,,2.305,2.056,2.555,,0.108,0.096,0.12,,2945,2624,3267,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Both sexes,14.666,13.528,15.803,,3870,,8385,46.2,43.6,48.7,,39.9,37.1,42.8,,37.214,34.355,40.073,,93.181,92.654,93.709,,2.821,2.625,3.018,,0.132,0.123,0.141,,3605,3352,3857,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Both sexes,12.318,11.626,13.009,,4705,,14245,33,31.3,34.8,,33.5,31.8,35.3,,30.82,29.094,32.546,,91.882,91.426,92.337,,3.384,3.136,3.632,,0.159,0.147,0.17,,4324,4008,4639,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Both sexes,13.212,12.007,14.417,,2245,,6320,35.5,32.5,38.5,,36,32.8,39.1,,33.255,30.092,36.417,,92.431,91.736,93.125,,1.622,1.46,1.783,,0.076,0.068,0.084,,2072,1862,2283,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, White",Both sexes,10.142,9.181,11.103,,1890,,7230,26.2,23.8,28.6,,27.6,25.2,30.1,,24.895,22.432,27.358,,90.14,89.202,91.077,,1.335,1.173,1.498,,0.063,0.055,0.07,,1706,1499,1913,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, Black",Both sexes,2.491,2.353,2.63,,12105,,176085,6.9,6.6,7.2,,6.8,6.5,7.1,,4.061,3.73,4.393,,59.863,57.651,62.074,,5.673,5.216,6.131,,0.266,0.244,0.287,,7249,6663,7835,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Both sexes,1.681,1.601,1.76,,10540,,230330,4.6,4.4,4.8,,4.6,4.4,4.8,,1.854,1.655,2.052,,40.5,37.696,43.303,,3.341,2.979,3.704,,0.157,0.139,0.174,,4269,3805,4734,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Both sexes,1.623,1.545,1.7,,15695,,348370,4.5,4.3,4.7,,4.4,4.3,4.6,,1.696,1.509,1.884,,38.384,35.454,41.314,,4.716,4.199,5.233,,0.221,0.197,0.245,,6025,5372,6679,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Both sexes,1.833,1.713,1.954,,5840,,115815,5,4.7,5.3,,5,4.7,5.3,,2.27,1.958,2.581,,45.459,41.857,49.062,,2.077,1.789,2.366,,0.097,0.084,0.111,,2654,2286,3022,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Both sexes,1,,,,40375,,1.48168e+006,2.7,2.7,2.8,,2.7,2.7,2.8,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Both sexes,4.523,4.333,4.713,,17005,,158815,10.7,10.4,11.1,,12.3,11.9,12.7,,9.595,9.165,10.025,,77.893,76.97,78.815,,10.368,9.942,10.795,,0.486,0.464,0.507,,13248,12661,13834,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Total non-White",Both sexes,0.993,0.882,1.104,,1965,,32180,6.1,5.6,6.7,,2.7,2.4,3,,-0.019,-0.32,0.281,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Both sexes,13.079,12.543,13.615,,14045,,38845,36.2,34.9,37.4,,35.6,34.5,36.8,,32.893,31.732,34.054,,92.354,92.042,92.667,,10.152,9.746,10.557,,0.476,0.456,0.495,,12971,12431,13511,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Both sexes,1.87,1.808,1.932,,50375,,978825,5.1,5,5.2,,5.1,5,5.2,,2.37,2.245,2.494,,46.529,44.764,48.294,,18.345,17.377,19.313,,0.859,0.815,0.904,,23439,22220,24659,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Black",Males,4.502,3.902,5.101,,1530,,13780,11.1,9.9,12.3,,12.3,10.7,13.8,,9.53,7.958,11.102,,77.786,74.889,80.683,,1.816,1.544,2.089,,0.085,0.072,0.098,,1191,1013,1369,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Males,5.414,4.732,6.096,,1915,,15015,12.8,11.7,13.9,,14.7,13,16.4,,12.013,10.291,13.735,,81.529,79.194,83.864,,2.386,2.135,2.636,,0.112,0.1,0.123,,1564,1397,1731,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Males,4.107,3.809,4.404,,4610,,46985,9.8,9.2,10.4,,11.2,10.4,11.9,,8.455,7.715,9.195,,75.649,73.887,77.41,,5.319,4.884,5.755,,0.249,0.228,0.269,,3487,3198,3776,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Males,4.267,3.419,5.115,,605,,5550,10.9,9.1,12.6,,11.6,9.3,13.9,,8.892,6.596,11.188,,76.565,71.845,81.284,,0.705,0.556,0.855,,0.033,0.026,0.04,,462,364,561,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Recent immigrant, White",Males,3.683,3.08,4.287,,1020,,12565,8.1,7,9.2,,10,8.4,11.6,,7.303,5.688,8.918,,72.85,68.259,77.441,,1.129,0.919,1.339,,0.053,0.043,0.063,,740,601,879,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Black",Males,0.993,0.554,1.431,,120,E,2085,6,3.7,8.2,,2.7,1.5,3.9,,-0.02,-1.211,1.171,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, East/Southeast Asian",Males,1.551,1.171,1.931,,335,,3630,9.3,7.5,11.1,,4.2,3.2,5.2,,1.501,0.474,2.527,,35.541,19.79,51.292,,0.183,0.07,0.295,,0.009,0.003,0.014,,120,46,193,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Arab/South/West Asian",Males,0.856,0.667,1.045,,495,,9575,5.1,4.2,6.1,,2.3,1.8,2.8,,-0.391,-0.907,0.125,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, Latin American/Other/Multiple origins",Males,0.603,0.178,1.029,,55,E,1380,4.1,2,6.1,,1.6,0.5,2.8,,-1.08,-2.24,0.08,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Long-term immigrant, White",Males,0.408,0.208,0.609,,85,E,3160,2.8,1.6,4,,1.1,0.6,1.7,,-1.61,-2.159,-1.061,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Males,12.223,11.017,13.429,,1720,,5150,33.4,30.5,36.4,,33.3,30.2,36.3,,30.546,27.48,33.612,,91.819,91.019,92.619,,2.411,2.121,2.702,,0.113,0.099,0.126,,1581,1392,1770,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Males,15.399,13.815,16.984,,2055,,4340,47.4,44.1,50.7,,41.9,38,45.8,,39.191,35.299,43.082,,93.506,92.837,94.175,,2.933,2.669,3.196,,0.137,0.125,0.149,,1923,1751,2094,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Males,11.932,11.015,12.849,,2440,,7555,32.2,29.9,34.5,,32.5,30.2,34.8,,29.753,27.441,32.065,,91.619,90.976,92.263,,3.403,3.069,3.737,,0.159,0.144,0.175,,2231,2011,2451,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Males,14.995,13.434,16.556,,1270,,3195,39.8,35.9,43.7,,40.8,36.6,45,,38.09,33.925,42.255,,93.331,92.632,94.03,,1.81,1.575,2.046,,0.085,0.073,0.096,,1187,1028,1345,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-permanent resident, White",Males,9.923,8.753,11.092,,960,,3710,25.8,22.8,28.8,,27,23.9,30.1,,24.285,21.213,27.357,,89.922,88.717,91.127,,1.313,1.117,1.51,,0.061,0.052,0.071,,861,731,990,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, Black",Males,2.422,2.262,2.582,,5935,,88805,6.7,6.3,7,,6.6,6.2,7,,3.87,3.49,4.249,,58.71,55.991,61.428,,5.315,4.812,5.818,,0.249,0.225,0.272,,3484,3150,3819,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Ontario,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Males,1.676,1.594,1.757,,5410,,118760,4.6,4.3,4.8,,4.6,4.4,4.8,,1.839,1.634,2.043,,40.318,37.404,43.231,,3.329,2.951,3.707,,0.156,0.138,0.173,,2182,1934,2430,,Census 2021
